Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,230,BLISSGVS,EQ,745114,393749,52.84
20,231,BLS,EQ,141274,84305,59.67
20,232,BLUEDART,EQ,15924,6260,39.31
20,233,BLUESTARCO,EQ,99756,45316,45.43
20,234,BODALCHEM,EQ,1901533,495107,26.04
20,235,BOMDYEING,EQ,1469203,336388,22.90
20,236,BOROLTD,EQ,91382,61937,67.78
20,237,BORORENEW,EQ,217601,123925,56.95
20,238,BOSCHLTD,EQ,22321,6035,27.04
20,239,BPCL,EQ,13671931,5726615,41.89
20,240,BPL,EQ,123375,68459,55.49
20,241,BRFL,EQ,211847,155315,73.31
20,242,BRIGADE,EQ,182657,101161,55.38
20,243,BRIGHT,SM,15000,15000,100.00
20,244,BRITANNIA,EQ,820046,323676,39.47
20,245,BRITANNIA,N2,2509,2440,97.25
20,246,BRNL,EQ,24208,15706,64.88
20,247,BROOKS,EQ,10837,9344,86.22
20,248,BSE,EQ,153531,66974,43.62
20,249,BSELINFRA,EQ,155066,154066,99.36
20,250,BSL,EQ,5242,4550,86.80
20,251,BSLGOLDETF,EQ,365,197,53.97
20,252,BSLNIFTY,EQ,185,96,51.89
20,253,BSOFT,EQ,1141179,675670,59.21
20,254,BURGERKING,EQ,1170429,488840,41.77
20,255,BUTTERFLY,EQ,142280,10682,7.51
20,256,BYKE,EQ,38127,25024,65.63
20,257,CADILAHC,EQ,2032262,344540,16.95
20,258,CADSYS,SM,4000,4000,100.00
20,259,CALSOFT,EQ,13194,7148,54.18
20,260,CAMLINFINE,EQ,1269979,267021,21.03
20,261,CAMS,EQ,105102,73017,69.47
20,262,CANBK,EQ,19111354,3196475,16.73
20,263,CANFINHOME,EQ,1378357,551019,39.98
20,264,CANTABIL,EQ,112246,21657,19.29
20,265,CAPACITE,EQ,99821,37959,38.03
20,266,CAPLIPOINT,EQ,76533,42692,55.78
20,267,CARBORUNIV,EQ,196549,126792,64.51
20,268,CAREERP,EQ,14568,8657,59.42
20,269,CARERATING,EQ,156424,86430,55.25
20,270,CASTROLIND,EQ,1438280,738547,51.35
20,271,CCHHL,EQ,80031,61816,77.24
20,272,CCL,EQ,60075,32552,54.19
20,273,CDSL,EQ,543384,200368,36.87
20,274,CEATLTD,EQ,125465,15689,12.50
20,275,CENTENKA,EQ,28870,16834,58.31
20,276,CENTEXT,EQ,77448,54092,69.84
20,277,CENTRALBK,EQ,11643707,6650099,57.11
20,278,CENTRUM,EQ,6124001,2159532,35.26
20,279,CENTUM,EQ,6073,2669,43.95
20,280,CENTURYPLY,EQ,99196,64285,64.81
20,281,CENTURYTEX,EQ,413517,104823,25.35
20,282,CERA,EQ,13076,9940,76.02
20,283,CEREBRAINT,EQ,754006,275506,36.54
20,284,CESC,EQ,383117,244882,63.92
20,285,CGCL,EQ,94622,27627,29.20
20,286,CGPOWER,EQ,3119312,1866989,59.85
20,287,CHALET,EQ,123045,59898,48.68
20,288,CHAMBLFERT,EQ,639503,282315,44.15
20,289,CHEMBOND,EQ,13554,8301,61.24
20,290,CHEMCON,EQ,138509,51313,37.05
20,291,CHEMFAB,EQ,8893,7001,78.72
20,292,CHENNPETRO,EQ,506764,212213,41.88
20,293,CHOLAFIN,EQ,9087183,1382714,15.22
20,294,CHOLAHLDNG,EQ,116287,59167,50.88
20,295,CIGNITITEC,EQ,48602,33082,68.07
20,296,CINELINE,EQ,37307,20544,55.07
20,297,CINEVISTA,EQ,11987,7245,60.44
20,298,CIPLA,EQ,3563266,1112403,31.22
20,299,CLEDUCATE,EQ,53446,30964,57.94
20,300,CLNINDIA,EQ,44541,21893,49.15
20,301,CMMIPL,SM,117000,117000,100.00
20,302,COALINDIA,EQ,11414253,4063737,35.60
20,303,COCHINSHIP,EQ,142487,49551,34.78
20,304,COFORGE,EQ,325777,99191,30.45
20,305,COLPAL,EQ,871920,508221,58.29
20,306,COMPINFO,EQ,140981,68387,48.51
20,307,COMPUSOFT,EQ,28667,17414,60.75
20,308,CONCOR,EQ,1962206,294085,14.99
20,309,CONFIPET,EQ,483382,182986,37.86
20,310,CONSOFINVT,EQ,4022,2844,70.71
20,311,CONTI,SM,16665,13332,80.00
20,312,CONTROLPR,EQ,30522,16109,52.78
20,313,CORALFINAC,EQ,5783,3907,67.56
20,314,CORDSCABLE,EQ,50601,22667,44.80
20,315,COROMANDEL,EQ,198640,107636,54.19
20,316,COSMOFILMS,EQ,79168,30280,38.25
20,317,CPSEETF,EQ,1150871,846064,73.52
20,318,CREATIVE,EQ,10582,3724,35.19
20,319,CREATIVEYE,EQ,45,45,100.00
20,320,CREDITACC,EQ,79513,28925,36.38
20,321,CREST,EQ,5197,3817,73.45
20,322,CRISIL,EQ,13845,6580,47.53
20,323,CROMPTON,EQ,1355742,649160,47.88
20,324,CSBBANK,EQ,151586,65047,42.91
20,325,CTE,EQ,8369,5959,71.20
20,326,CUB,EQ,986324,384779,39.01
20,327,CUBEXTUB,EQ,22534,13649,60.57
20,328,CUMMINSIND,EQ,868118,121859,14.04
20,329,CUPID,EQ,36504,16183,44.33
20,330,CYBERTECH,EQ,72867,38433,52.74
20,331,CYIENT,EQ,609156,132678,21.78
20,332,DAAWAT,EQ,1626860,580375,35.67
20,333,DABUR,EQ,1720620,839985,48.82
20,334,DALBHARAT,EQ,68910,38984,56.57
20,335,DALMIASUG,EQ,147644,31463,21.31
20,336,DAMODARIND,EQ,64139,34347,53.55
20,337,DANGEE,EQ,18065,3619,20.03
20,338,DATAMATICS,EQ,280114,95880,34.23
20,339,DBCORP,EQ,168289,75208,44.69
